year,temp_anomaly
1995,-20.30961538461539
1995,-16.02961538461539
1995,-10.049615384615386
1995,-3.9796153846153928
1995,5.230384615384608
1995,14.140384615384612
1995,20.140384615384612
1995,20.910384615384608
1995,11.280384615384612
1995,1.0603846153846135
1995,-11.359615384615388
1995,-19.969615384615388
1996,-23.68961538461539
1996,-17.69961538461539
1996,-14.369615384615386
1996,-2.739615384615391
1996,7.5703846153846115
1996,16.450384615384614
1996,20.230384615384615
1996,19.020384615384607
1996,10.060384615384613
1996,0.2503846153846112
1996,-13.759615384615387
1996,-19.479615384615393
1997,-23.41961538461539
1997,-17.339615384615392
1997,-8.73961538461539
1997,-5.479615384615393
1997,5.990384615384613
1997,14.900384615384617
1997,19.780384615384612
1997,18.340384615384615
1997,13.010384615384616
1997,0.5203846153846072
1997,-12.52961538461539
1997,-19.38961538461539
1998,-18.399615384615387
1998,-14.679615384615389
1998,-12.069615384615389
1998,-2.329615384615387
1998,9.070384615384611
1998,14.72038461538461
1998,22.060384615384613
1998,20.600384615384606
1998,15.560384615384613
1998,1.72038461538461
1998,-8.499615384615389
1998,-17.839615384615392
1999,-19.609615384615388
1999,-13.899615384615387
1999,-10.609615384615388
1999,-1.8396153846153922
1999,6.65038461538461
1999,14.900384615384617
1999,20.890384615384612
1999,19.490384615384606
1999,10.940384615384609
1999,1.3603846153846106
1999,-5.27961538461539
1999,-17.289615384615388
2000,-19.81961538461539
2000,-13.609615384615388
2000,-7.369615384615386
2000,-0.8196153846153891
2000,9.730384615384608
2000,15.620384615384616
2000,20.460384615384605
2000,20.620384615384616
2000,12.160384615384608
2000,1.690384615384609
2000,-15.379615384615391
2000,-24.949615384615388
2001,-22.01961538461539
2001,-19.42961538461539
2001,-11.91961538461539
2001,-0.30961538461539106
2001,9.410384615384608
2001,15.820384615384604
2001,21.05038461538461
2001,20.890384615384612
2001,12.290384615384617
2001,0.9703846153846101
2001,-5.999615384615389
2001,-17.269615384615392
2002,-18.909615384615392
2002,-16.99961538461539
2002,-13.84961538461539
2002,0.10038461538461263
2002,5.880384615384614
2002,17.450384615384614
2002,22.44038461538461
2002,19.430384615384604
2002,13.440384615384609
2002,-1.569615384615389
2002,-11.439615384615387
2002,-18.30961538461539
2003,-20.579615384615387
2003,-20.59961538461539
2003,-10.09961538461539
2003,-1.4996153846153888
2003,7.5703846153846115
2003,14.630384615384607
2003,22.040384615384617
2003,21.230384615384615
2003,11.550384615384608
2003,3.1403846153846118
2003,-11.039615384615388
2003,-18.09961538461539
2004,-23.02961538461539
2004,-19.81961538461539
2004,-5.999615384615389
2004,-0.7296153846153928
2004,8.51038461538461
2004,14.660384615384608
2004,19.490384615384606
2004,16.75038461538461
2004,12.250384615384611
2004,1.960384615384612
2004,-9.399615384615387
2004,-18.329615384615387
2005,-19.99961538461539
2005,-15.449615384615392
2005,-11.079615384615387
2005,-1.1396153846153894
2005,6.15038461538461
2005,15.800384615384608
2005,21.900384615384617
2005,19.790384615384617
2005,13.960384615384605
2005,1.97038461538461
2005,-8.38961538461539
2005,-20.689615384615387
2006,-14.45961538461539
2006,-18.55961538461539
2006,-10.789615384615388
2006,1.8503846153846126
2006,8.870384615384609
2006,17.350384615384606
2006,23.00038461538461
2006,19.990384615384606
2006,9.890384615384612
2006,-0.8196153846153891
2006,-9.309615384615391
2006,-16.81961538461539
2007,-22.039615384615388
2007,-20.979615384615393
2007,-5.749615384615389
2007,-2.84961538461539
2007,8.920384615384613
2007,16.460384615384605
2007,21.290384615384617
2007,21.230384615384615
2007,13.030384615384612
2007,3.2703846153846072
2007,-9.399615384615387
2007,-20.16961538461539
2008,-23.11961538461539
2008,-18.689615384615387
2008,-11.52961538461539
2008,-3.009615384615387
2008,5.950384615384614
2008,16.19038461538461
2008,20.660384615384608
2008,18.86038461538461
2008,11.800384615384608
2008,0.5903846153846075
2008,-9.469615384615388
2008,-21.51961538461539
2009,-22.33961538461539
2009,-16.619615384615386
2009,-10.519615384615392
2009,-2.489615384615391
2009,8.240384615384613
2009,15.11038461538461
2009,19.22038461538461
2009,18.480384615384615
2009,12.97038461538461
2009,-2.8996153846153874
2009,-7.569615384615389
2009,-23.74961538461539
2010,-22.719615384615388
2010,-21.58961538461539
2010,-9.829615384615387
2010,-0.14961538461538737
2010,6.47038461538461
2010,17.08038461538461
2010,21.310384615384613
2010,20.640384615384612
2010,13.08038461538461
2010,2.750384615384611
2010,-11.079615384615387
2010,-20.91961538461539
2011,-23.67961538461539
2011,-20.34961538461539
2011,-10.319615384615389
2011,-1.4296153846153885
2011,5.72038461538461
2011,16.410384615384608
2011,22.730384615384615
2011,21.590384615384615
2011,12.680384615384604
2011,1.690384615384609
2011,-9.649615384615387
2011,-17.98961538461539
2012,-17.269615384615392
2012,-15.879615384615391
2012,-2.989615384615391
2012,1.2903846153846104
2012,10.04038461538461
2012,17.130384615384607
2012,23.340384615384615
2012,20.390384615384612
2012,12.900384615384617
2012,0.5003846153846112
2012,-9.379615384615391
2012,-17.469615384615388
2013,-21.13961538461539
2013,-18.619615384615386
2013,-12.499615384615389
2013,-3.7296153846153928
2013,7.450384615384614
2013,16.990384615384606
2013,20.80038461538461
2013,19.58038461538461
2013,13.550384615384608
2013,0.030384615384612346
2013,-11.77961538461539
2013,-22.32961538461539
2014,-22.82961538461539
2014,-21.259615384615387
2014,-12.879615384615391
2014,-1.6996153846153916
2014,7.880384615384614
2014,16.180384615384604
2014,19.880384615384607
2014,18.820384615384604
2014,12.770384615384607
2014,3.5203846153846072
2014,-14.13961538461539
2014,-16.579615384615387
